Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2022-04-01,$174.31,78751330,$174.03,$174.88,$171.94,37.0,0.464,AAPL.US
2022-04-04,$178.44,76545980,$174.57,$178.49,$174.44,30.0,0.5425,AAPL.US
2022-04-05,$175.06,73401790,$177.50,$178.30,$174.415,23.0,0.5154,AAPL.US
2022-04-06,$171.83,89058780,$172.36,$173.63,$170.13,27.0,0.4567,AAPL.US
2022-04-07,$172.14,77594650,$171.16,$173.36,$169.85,23.0,0.4187,AAPL.US
2022-04-08,$170.09,76575510,$171.78,$171.78,$169.20,26.0,0.5553,AAPL.US
2022-04-11,$165.75,72246710,$168.71,$169.03,$165.50,36.0,0.4428,AAPL.US
2022-04-12,$167.66,79265180,$168.02,$169.87,$166.64,31.0,0.4459,AAPL.US
2022-04-13,$170.40,70618930,$167.39,$171.04,$166.77,33.0,0.4767,AAPL.US
2022-04-14,$165.29,75329380,$170.62,$171.27,$165.04,31.0,0.3956,AAPL.US
2022-04-18,$165.07,69023940,$163.92,$166.5984,$163.57,24.0,0.7533,AAPL.US
2022-04-19,$167.40,67723830,$165.02,$167.82,$163.91,29.0,0.5516,AAPL.US
2022-04-20,$167.23,67929810,$168.76,$168.88,$166.10,30.0,0.5569,AAPL.US
2022-04-21,$166.42,87227770,$168.91,$171.53,$165.91,31.0,0.5993,AAPL.US
2022-04-22,$161.79,84882420,$166.46,$167.8699,$161.50,36.0,0.4428,AAPL.US
2022-04-25,$162.88,96046380,$161.12,$163.17,$158.46,29.0,0.3775,AAPL.US
2022-04-26,$156.80,95623240,$162.25,$162.34,$156.72,47.0,0.2625,AAPL.US
2022-04-27,$156.57,88063190,$155.91,$159.79,$155.38,37.0,0.3382,AAPL.US
2022-04-28,$163.64,130216800,$159.25,$164.515,$158.93,60.0,0.3232,AAPL.US
2022-04-29,$157.65,131747600,$161.84,$166.20,$157.25,77.0,0.204,AAPL.US
2022-05-02,$157.96,123055300,$156.71,$158.23,$153.27,43.0,0.1231,AAPL.US
2022-05-03,$159.48,88966530,$158.15,$160.71,$156.32,29.0,0.3989,AAPL.US
2022-05-04,$166.02,108256500,$159.67,$166.48,$159.26,27.0,0.382,AAPL.US
2022-05-05,$156.77,130525300,$163.85,$164.08,$154.95,20.0,0.2502,AAPL.US
2022-05-06,$157.28,116124600,$156.01,$159.44,$154.18,24.0,0.1556,AAPL.US
2022-05-09,$152.06,131577900,$154.925,$155.83,$151.49,30.0,0.4153,AAPL.US
2022-05-10,$154.51,115366700,$155.52,$156.74,$152.93,25.0,0.2463,AAPL.US
2022-05-11,$146.50,142689800,$153.50,$155.45,$145.81,24.0,0.4832,AAPL.US
2022-05-12,$142.56,182602000,$142.77,$146.20,$138.80,48.0,0.3031,AAPL.US
2022-05-13,$147.11,113990900,$144.59,$148.105,$143.11,39.0,0.3198,AAPL.US
2022-05-16,$145.54,86643780,$145.55,$147.5199,$144.18,19.0,0.3117,AAPL.US
2022-05-17,$149.24,78336250,$148.86,$149.77,$146.68,26.0,0.5749,AAPL.US
2022-05-18,$140.82,109742900,$146.85,$147.3601,$139.90,29.0,0.2882,AAPL.US
2022-05-19,$137.35,136095600,$139.88,$141.66,$136.60,32.0,0.4626,AAPL.US
2022-05-20,$137.59,137426100,$139.09,$140.70,$132.61,32.0,0.412,AAPL.US
2022-05-23,$143.11,117726300,$137.79,$143.26,$137.65,32.0,0.5567,AAPL.US
2022-05-24,$140.36,104132700,$140.805,$141.97,$137.33,30.0,0.4587,AAPL.US
2022-05-25,$140.52,92482700,$138.43,$141.785,$138.34,29.0,0.2468,AAPL.US
2022-05-26,$143.78,90601550,$137.39,$144.34,$137.14,44.0,0.3402,AAPL.US
2022-05-27,$149.64,90978500,$145.39,$149.68,$145.26,23.0,0.4311,AAPL.US
2022-05-31,$148.84,103718400,$149.07,$150.66,$146.84,16.0,0.2788,AAPL.US
2022-06-01,$148.71,74286640,$149.90,$151.74,$147.68,19.0,0.5422,AAPL.US
2022-06-02,$151.21,72348060,$147.83,$151.27,$146.86,22.0,0.3331,AAPL.US
2022-06-03,$145.38,88570290,$146.90,$147.97,$144.46,31.0,0.3466,AAPL.US
2022-06-06,$146.14,71598380,$147.03,$148.5689,$144.90,62.0,0.6018,AAPL.US
2022-06-07,$148.71,67808150,$144.345,$149.00,$144.10,64.0,0.4305,AAPL.US
2022-06-08,$147.96,53950200,$148.58,$149.8697,$147.46,33.0,0.6237,AAPL.US
2022-06-09,$142.64,69472980,$147.08,$147.95,$142.53,40.0,0.436,AAPL.US
2022-06-10,$137.13,91566640,$140.28,$140.76,$137.06,48.0,0.3613,AAPL.US
2022-06-13,$131.88,122207100,$132.87,$135.20,$131.44,31.0,0.3172,AAPL.US
2022-06-14,$132.76,84784330,$133.13,$133.89,$131.48,42.0,0.5506,AAPL.US
2022-06-15,$135.43,91532970,$134.29,$137.34,$132.16,40.0,0.5605,AAPL.US
2022-06-16,$130.06,107961500,$132.08,$132.39,$129.04,17.0,0.4713,AAPL.US
2022-06-17,$131.56,134520300,$130.065,$133.079,$129.81,26.0,0.368,AAPL.US
2022-06-21,$135.87,81000490,$133.42,$137.06,$133.32,28.0,0.5884,AAPL.US
2022-06-22,$135.35,73409230,$134.79,$137.76,$133.91,19.0,0.6739,AAPL.US
2022-06-23,$138.27,72433770,$136.82,$138.59,$135.63,28.0,0.4993,AAPL.US
2022-06-24,$141.66,89116840,$139.90,$141.91,$139.77,28.0,0.4399,AAPL.US
2022-06-27,$141.66,70207910,$142.695,$143.49,$140.965,30.0,0.5597,AAPL.US
2022-06-28,$137.44,67315330,$142.13,$143.422,$137.325,37.0,0.4545,AAPL.US
2022-06-29,$139.23,66242410,$137.46,$140.67,$136.67,39.0,0.4072,AAPL.US
2022-06-30,$136.72,98964470,$137.25,$138.37,$133.7737,44.0,0.2109,AAPL.US
2022-07-01,$138.93,71051550,$136.04,$139.04,$135.66,35.0,0.4139,AAPL.US
2022-07-05,$141.56,73429640,$137.77,$141.61,$136.93,28.0,0.3361,AAPL.US
2022-07-06,$142.92,74064250,$141.355,$144.12,$141.08,29.0,0.4239,AAPL.US
2022-07-07,$146.35,66253710,$143.29,$146.55,$143.28,29.0,0.5412,AAPL.US
2022-07-08,$147.04,64547800,$145.265,$147.55,$145.00,20.0,0.2498,AAPL.US
2022-07-11,$144.87,63305110,$145.67,$146.64,$143.78,33.0,0.2015,AAPL.US
2022-07-12,$145.86,77588760,$145.76,$148.45,$145.05,27.0,0.4128,AAPL.US
2022-07-13,$145.49,71185560,$142.99,$146.45,$142.1201,25.0,0.528,AAPL.US
2022-07-14,$148.47,78140740,$144.08,$148.95,$143.25,25.0,0.3061,AAPL.US
2022-07-15,$150.17,76259930,$149.78,$150.86,$148.20,18.0,0.3668,AAPL.US
2022-07-18,$147.07,81420870,$150.74,$151.57,$146.70,40.0,0.4792,AAPL.US
2022-07-19,$151.00,82982370,$147.92,$151.23,$146.91,53.0,0.3177,AAPL.US
2022-07-20,$153.04,64823410,$151.12,$153.72,$150.37,40.0,0.3541,AAPL.US
2022-07-21,$155.35,65086640,$154.50,$155.57,$151.94,31.0,0.4238,AAPL.US
2022-07-22,$154.09,66675410,$155.39,$156.28,$153.41,34.0,0.5404,AAPL.US
2022-07-25,$152.95,53623950,$154.01,$155.04,$152.28,58.0,0.3466,AAPL.US
2022-07-26,$151.60,55138690,$152.265,$153.085,$150.80,29.0,0.3068,AAPL.US
2022-07-27,$156.79,78620690,$152.58,$157.33,$152.16,33.0,0.2948,AAPL.US
2022-07-28,$157.35,81378730,$156.98,$157.64,$154.41,56.0,0.3439,AAPL.US
2022-07-29,$162.51,101786900,$161.24,$163.63,$159.50,70.0,0.5403,AAPL.US
2022-08-01,$161.51,67829380,$161.01,$163.59,$160.89,34.0,0.56,AAPL.US
2022-08-02,$160.01,59907030,$160.10,$162.41,$159.63,19.0,0.3949,AAPL.US
2022-08-03,$166.13,82507490,$160.84,$166.59,$160.75,26.0,0.4989,AAPL.US
2022-08-04,$165.81,55474140,$166.005,$167.19,$164.43,16.0,0.3366,AAPL.US
2022-08-05,$165.35,56696990,$163.21,$165.85,$163.00,22.0,0.354,AAPL.US
2022-08-08,$164.87,60362340,$166.37,$167.81,$164.20,20.0,0.3408,AAPL.US
2022-08-09,$164.92,63135500,$164.02,$165.82,$163.25,38.0,0.3502,AAPL.US
2022-08-10,$169.24,70170540,$167.68,$169.34,$166.90,26.0,0.5495,AAPL.US
2022-08-11,$168.49,57149160,$170.06,$170.99,$168.19,22.0,0.5847,AAPL.US
2022-08-12,$172.10,68039380,$169.82,$172.17,$169.40,33.0,0.3477,AAPL.US
2022-08-15,$173.19,54091690,$171.52,$173.39,$171.345,39.0,0.523,AAPL.US
2022-08-16,$173.03,56377050,$172.78,$173.71,$171.6618,42.0,0.4354,AAPL.US
2022-08-17,$174.55,79542040,$172.77,$176.15,$172.57,28.0,0.2229,AAPL.US
2022-08-18,$174.15,62290080,$173.75,$174.90,$173.12,25.0,0.3322,AAPL.US
2022-08-19,$171.52,70346300,$173.03,$173.74,$171.3101,25.0,0.6568,AAPL.US
2022-08-22,$167.57,69026810,$169.69,$169.86,$167.135,24.0,0.5767,AAPL.US
2022-08-23,$167.23,54147080,$167.08,$168.71,$166.65,26.0,0.3823,AAPL.US
2022-08-24,$167.53,53841520,$167.32,$168.11,$166.245,40.0,0.5302,AAPL.US
2022-08-25,$170.03,51218210,$168.78,$170.14,$168.35,14.0,0.4301,AAPL.US
2022-08-26,$163.62,78960980,$170.57,$171.05,$163.56,26.0,0.5798,AAPL.US
2022-08-29,$161.38,73313950,$161.145,$162.90,$159.82,34.0,0.4583,AAPL.US
2022-08-30,$158.91,77906200,$162.13,$162.56,$157.72,17.0,0.5137,AAPL.US
2022-08-31,$157.22,87991090,$160.305,$160.58,$157.14,18.0,0.365,AAPL.US
2022-09-01,$157.96,74229900,$156.64,$158.42,$154.67,27.0,0.3569,AAPL.US
2022-09-02,$155.81,76957770,$159.75,$160.362,$154.965,33.0,0.5435,AAPL.US
2022-09-06,$154.53,73714840,$156.47,$157.09,$153.69,32.0,0.3915,AAPL.US
2022-09-07,$155.96,87449570,$154.825,$156.67,$153.61,68.0,0.524,AAPL.US
2022-09-08,$154.46,84923850,$154.64,$156.36,$152.68,59.0,0.5139,AAPL.US
2022-09-09,$157.37,68081010,$155.47,$157.82,$154.75,39.0,0.4469,AAPL.US
2022-09-12,$163.43,104956000,$159.59,$164.26,$159.30,32.0,0.6848,AAPL.US
2022-09-13,$153.84,122656600,$159.90,$160.54,$153.37,36.0,0.4409,AAPL.US
2022-09-14,$155.31,87965410,$154.785,$157.10,$153.6106,31.0,0.5218,AAPL.US
2022-09-15,$152.37,90481110,$154.65,$155.24,$151.38,34.0,0.457,AAPL.US
2022-09-16,$150.70,162278800,$151.21,$151.35,$148.37,24.0,0.2959,AAPL.US
2022-09-19,$154.48,81474250,$149.31,$154.56,$149.10,17.0,0.6542,AAPL.US
2022-09-20,$156.90,107689800,$153.40,$158.08,$153.08,35.0,0.4887,AAPL.US
2022-09-21,$153.72,101696800,$157.34,$158.74,$153.60,18.0,0.4224,AAPL.US
2022-09-22,$152.74,86652540,$152.38,$154.47,$150.91,30.0,0.5663,AAPL.US
2022-09-23,$150.43,96029910,$151.19,$151.47,$148.56,33.0,0.4468,AAPL.US
2022-09-26,$150.77,93339410,$149.66,$153.7701,$149.64,42.0,0.5781,AAPL.US
2022-09-27,$151.76,84442740,$152.74,$154.72,$149.945,16.0,0.6131,AAPL.US
2022-09-28,$149.84,146691400,$147.64,$150.6414,$144.84,50.0,0.3916,AAPL.US
2022-09-29,$142.48,128138200,$146.10,$146.72,$140.68,37.0,0.1949,AAPL.US
2022-09-30,$138.20,124925300,$141.28,$143.10,$138.00,40.0,0.313,AAPL.US
2022-10-03,$142.45,114311700,$138.21,$143.07,$137.685,21.0,0.5193,AAPL.US
2022-10-04,$146.10,87830060,$145.03,$146.22,$144.26,37.0,0.4479,AAPL.US
2022-10-05,$146.40,79470970,$144.075,$147.38,$143.01,25.0,0.6656,AAPL.US
2022-10-06,$145.43,68402170,$145.81,$147.54,$145.22,30.0,0.3832,AAPL.US
2022-10-07,$140.09,85925560,$142.54,$143.10,$139.445,22.0,0.4933,AAPL.US
2022-10-10,$140.42,74899000,$140.42,$141.89,$138.5729,28.0,0.1496,AAPL.US
2022-10-11,$138.98,77033670,$139.90,$141.35,$138.22,24.0,0.4984,AAPL.US
2022-10-12,$138.34,70433740,$139.13,$140.36,$138.16,28.0,0.6023,AAPL.US
2022-10-13,$142.99,113224000,$134.99,$143.59,$134.37,29.0,0.5063,AAPL.US
2022-10-14,$138.38,88597970,$144.31,$144.52,$138.19,15.0,0.6045,AAPL.US
2022-10-17,$142.41,85250940,$141.065,$142.90,$140.27,20.0,0.5751,AAPL.US
2022-10-18,$143.75,99136610,$145.49,$146.70,$140.61,34.0,0.5507,AAPL.US
2022-10-19,$143.86,61758340,$141.69,$144.9492,$141.50,19.0,0.6619,AAPL.US
2022-10-20,$143.39,64521990,$143.02,$145.89,$142.65,12.0,0.4577,AAPL.US
2022-10-21,$147.27,86548610,$142.87,$147.8479,$142.649,39.0,0.4087,AAPL.US
2022-10-24,$149.45,75981920,$147.185,$150.23,$146.00,32.0,0.5106,AAPL.US
2022-10-25,$152.34,74732290,$150.09,$152.49,$149.36,39.0,0.4293,AAPL.US
2022-10-26,$149.35,88436170,$150.96,$151.99,$148.04,28.0,0.3644,AAPL.US
2022-10-27,$144.80,109180200,$148.07,$149.046,$144.13,41.0,0.5461,AAPL.US
2022-10-28,$155.74,164762400,$148.20,$157.50,$147.82,66.0,0.4212,AAPL.US
2022-10-31,$153.34,97943170,$153.155,$154.24,$151.92,50.0,0.3594,AAPL.US
2022-11-01,$150.65,80379350,$155.08,$155.45,$149.13,23.0,0.3262,AAPL.US
2022-11-02,$145.03,93604620,$148.945,$152.17,$145.00,27.0,0.2835,AAPL.US
2022-11-03,$138.88,97918520,$142.06,$142.80,$138.75,23.0,0.3479,AAPL.US
2022-11-04,$138.38,140814800,$142.09,$142.67,$134.38,24.0,0.4444,AAPL.US
2022-11-07,$138.92,83374630,$137.11,$139.145,$135.671,62.0,0.1167,AAPL.US
