Close,Pred_Close_Tmrw,Close_Lagged_10,Close_Lagged_9,Close_Lagged_8,Close_Lagged_7,Close_Lagged_6,Close_Lagged_5,Close_Lagged_4,Close_Lagged_3,Close_Lagged_2,Close_Lagged_1,Sentiment,Sent_Lagged_10,Sent_Lagged_9,Sent_Lagged_8,Sent_Lagged_7,Sent_Lagged_6,Sent_Lagged_5,Sent_Lagged_4,Sent_Lagged_3,Sent_Lagged_2,Sent_Lagged_1,TBill_Delta_30
160.1,162.88990783691406,163.76,163.77,165.33,165.02,166.65,167.63,166.47,165.23,165.21,165.56,0.2945,0.8991,0.5762,0.6183,0.6638,0.6627,0.6664,0.4532,0.6022,0.5335,0.4977,-0.2519999999999998
165.56,162.9012451171875,168.41,163.76,163.77,165.33,165.02,166.65,167.63,166.47,165.23,165.21,0.4977,0.7501,0.8991,0.5762,0.6183,0.6638,0.6627,0.6664,0.4532,0.6022,0.5335,-0.2519999999999998
165.21,163.44158935546875,169.68,168.41,163.76,163.77,165.33,165.02,166.65,167.63,166.47,165.23,0.5335,0.5099,0.7501,0.8991,0.5762,0.6183,0.6638,0.6627,0.6664,0.4532,0.6022,-0.2519999999999998
165.23,164.08384704589844,169.59,169.68,168.41,163.76,163.77,165.33,165.02,166.65,167.63,166.47,0.6022,0.3329,0.5099,0.7501,0.8991,0.5762,0.6183,0.6638,0.6627,0.6664,0.4532,-0.2519999999999998
166.47,164.90321350097656,168.54,169.59,169.68,168.41,163.76,163.77,165.33,165.02,166.65,167.63,0.4532,0.2377,0.3329,0.5099,0.7501,0.8991,0.5762,0.6183,0.6638,0.6627,0.6664,-0.2519999999999998
167.63,166.05274963378906,167.45,168.54,169.59,169.68,168.41,163.76,163.77,165.33,165.02,166.65,0.6664,0.6854,0.2377,0.3329,0.5099,0.7501,0.8991,0.5762,0.6183,0.6638,0.6627,-0.3769999999999998
166.65,167.18515014648438,165.79,167.45,168.54,169.59,169.68,168.41,163.76,163.77,165.33,165.02,0.6627,0.5336,0.6854,0.2377,0.3329,0.5099,0.7501,0.8991,0.5762,0.6183,0.6638,-0.3769999999999998
165.02,167.49700927734375,173.57,165.79,167.45,168.54,169.59,169.68,168.41,163.76,163.77,165.33,0.6638,0.6282,0.5336,0.6854,0.2377,0.3329,0.5099,0.7501,0.8991,0.5762,0.6183,-0.3769999999999998
165.33,167.85983276367188,173.5,173.57,165.79,167.45,168.54,169.59,169.68,168.41,163.76,163.77,0.6183,0.6022,0.6282,0.5336,0.6854,0.2377,0.3329,0.5099,0.7501,0.8991,0.5762,-0.3769999999999998
163.77,167.51473999023438,171.77,173.5,173.57,165.79,167.45,168.54,169.59,169.68,168.41,163.76,0.5762,0.9133,0.6022,0.6282,0.5336,0.6854,0.2377,0.3329,0.5099,0.7501,0.8991,-0.3769999999999998
163.76,167.7104034423828,173.555,171.77,173.5,173.57,165.79,167.45,168.54,169.59,169.68,168.41,0.8991,0.5593,0.9133,0.6022,0.6282,0.5336,0.6854,0.2377,0.3329,0.5099,0.7501,-0.3769999999999998
168.41,168.17282104492188,173.75,173.555,171.77,173.5,173.57,165.79,167.45,168.54,169.59,169.68,0.7501,0.5235,0.5593,0.9133,0.6022,0.6282,0.5336,0.6854,0.2377,0.3329,0.5099,-0.3769999999999998
169.68,168.80564880371094,172.57,173.75,173.555,171.77,173.5,173.57,165.79,167.45,168.54,169.59,0.5099,0.3802,0.5235,0.5593,0.9133,0.6022,0.6282,0.5336,0.6854,0.2377,0.3329,-0.3769999999999998
169.59,168.89794921875,172.07,172.57,173.75,173.555,171.77,173.5,173.57,165.79,167.45,168.54,0.3329,0.6574,0.3802,0.5235,0.5593,0.9133,0.6022,0.6282,0.5336,0.6854,0.2377,-0.125
168.54,169.01441955566406,172.07,172.07,172.57,173.75,173.555,171.77,173.5,173.57,165.79,167.45,0.2377,0.3617,0.6574,0.3802,0.5235,0.5593,0.9133,0.6022,0.6282,0.5336,0.6854,-0.125
167.45,169.0736083984375,172.69,172.07,172.07,172.57,173.75,173.555,171.77,173.5,173.57,165.79,0.6854,0.6313,0.3617,0.6574,0.3802,0.5235,0.5593,0.9133,0.6022,0.6282,0.5336,-0.125
165.79,168.36122131347656,175.05,172.69,172.07,172.07,172.57,173.75,173.555,171.77,173.5,173.57,0.5336,0.5308,0.6313,0.3617,0.6574,0.3802,0.5235,0.5593,0.9133,0.6022,0.6282,-0.125
173.57,168.71157836914062,175.16,175.05,172.69,172.07,172.07,172.57,173.75,173.555,171.77,173.5,0.6282,0.4023,0.5308,0.6313,0.3617,0.6574,0.3802,0.5235,0.5593,0.9133,0.6022,-0.125
173.5,169.53636169433594,174.2,175.16,175.05,172.69,172.07,172.07,172.57,173.75,173.555,171.77,0.6022,0.4116,0.4023,0.5308,0.6313,0.3617,0.6574,0.3802,0.5235,0.5593,0.9133,-0.125
171.77,170.5457000732422,171.56,174.2,175.16,175.05,172.69,172.07,172.07,172.57,173.75,173.555,0.9133,0.4025,0.4116,0.4023,0.5308,0.6313,0.3617,0.6574,0.3802,0.5235,0.5593,-0.125
173.555,170.49545288085938,171.84,171.56,174.2,175.16,175.05,172.69,172.07,172.07,172.57,173.75,0.5593,0.9538,0.4025,0.4116,0.4023,0.5308,0.6313,0.3617,0.6574,0.3802,0.5235,-0.125
173.75,170.86253356933594,172.99,171.84,171.56,174.2,175.16,175.05,172.69,172.07,172.07,172.57,0.5235,0.8473,0.9538,0.4025,0.4116,0.4023,0.5308,0.6313,0.3617,0.6574,0.3802,-0.125
172.57,171.31932067871094,175.43,172.99,171.84,171.56,174.2,175.16,175.05,172.69,172.07,172.07,0.3802,0.948,0.8473,0.9538,0.4025,0.4116,0.4023,0.5308,0.6313,0.3617,0.6574,-0.125
172.07,172.0537567138672,177.3,175.43,172.99,171.84,171.56,174.2,175.16,175.05,172.69,172.07,0.6574,0.9074,0.948,0.8473,0.9538,0.4025,0.4116,0.4023,0.5308,0.6313,0.3617,-0.125
172.07,172.4228515625,177.25,177.3,175.43,172.99,171.84,171.56,174.2,175.16,175.05,172.69,0.3617,0.7522,0.9074,0.948,0.8473,0.9538,0.4025,0.4116,0.4023,0.5308,0.6313,-0.125
172.69,172.5231475830078,180.09,177.25,177.3,175.43,172.99,171.84,171.56,174.2,175.16,175.05,0.6313,0.4807,0.7522,0.9074,0.948,0.8473,0.9538,0.4025,0.4116,0.4023,0.5308,-0.125
175.05,173.17251586914062,180.95,180.09,177.25,177.3,175.43,172.99,171.84,171.56,174.2,175.16,0.5308,0.5531,0.4807,0.7522,0.9074,0.948,0.8473,0.9538,0.4025,0.4116,0.4023,-0.22800000000000065
